"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1877";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Breza 314";"Breza";"02953";"5,34523048400879";;"6,47273101806641";"7,0344970703125";"5,91096420288086";;"0";;"8,91645202636719";;;"1,37455425262451";"6,94524383544922"
"1878";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hruštín 55";"Hruštín";"02952";"6,70031661987305";;"8,51116256713867";"8,93503570556641";"8,08728942871094";;"0";;"9,23889236450195";;;"4,23645706176758";"8,56540985107422"
"1879";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Klin 122";"Klin";"02941";"6,21965789794922";;"7,30806503295898";"7,27294387817383";"7,34318618774414";;"0";;"9,33174438476562";;;"2,98865756988525";"7,14294281005859"
"1880";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Krušetnica 83";"Krušetnica";"02954";"5,42922554016113";;"6,6861457824707";"6,93260879516602";"6,43968276977539";;"0";;"8,46244125366211";;;"3,31222229003906";"5,55051956176758"
"1881";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Lokca 71";"Lokca";"02951";"5,8938232421875";;"6,57992477416992";"6,90554351806641";"6,25430603027344";;"1,26012735366821";;"9,34197769165039";;;"3,18037395477295";"6,92539215087891"
"1882";"ilinskı";"Námestovo";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Lomná 36";"Lomná";"02954";;;;;;;"0";;;;;"4,53513603210449";"5,9452808380127"
"1883";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Mútne 224";"Mútne";"02963";"5,45845184326172";;"6,9310302734375";"6,98476409912109";"6,87729644775391";;"0,405894565582275";;"9,37623748779297";;;"3,18366088867187";"8,03482894897461"
"1884";"ilinskı";"Námestovo";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Bernolákova 1";"Námestovo";"02901";;;;;;;;;;;;;
"1885";"ilinskı";"Námestovo";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Èerveného kría 30";"Námestovo";"02901";;;;;;;;;;;;;
"1886";"ilinskı";"Námestovo";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Hattalova 15";"Námestovo";"02901";;;;;;;;;;;;;
